Country/Regional Local Authority,ONS area code,Notes,Period,Observation
Country/Regional Local Authority,ONS area ,,2019,2019.0
County Durham UA,E06000047,,2019,29.4
Darlington UA,E06000005,,2019,25.9
Hartlepool UA,E06000001,,2019,30.3
Middlesbrough UA,E06000002,,2019,25.5
Northumberland UA,E06000048,,2019,32.5
Redcar and Cleveland UA,E06000003,,2019,33.5
Stockton-on-Tees UA,E06000004,,2019,23.5
Tyne and Wear (Met County),E11000004,,2019,19.7
Gateshead,E08000020,,2019,19.0
Newcastle upon Tyne,E08000021,,2019,17.3
North Tyneside,E08000022,,2019,19.6
South Tyneside,E08000023,,2019,18.8
Sunderland,E08000024,,2019,23.1
North West (Region),E12000002,,2019,22.2
Blackburn with Darwen UA,E06000008,,2019,18.3
Blackpool UA,E06000009,,2019,17.4
Cheshire East UA,E06000049,,2019,29.5
Cheshire West and Chester UA,E06000050,,2019,28.5
Halton UA,E06000006,,2019,37.2
Warrington UA,E06000007,,2019,22.9
Cumbria,E10000006,,2019,31.1
Lancashire,E10000017,,2019,24.4
Greater Manchester (Met County),E11000001,,2019,17.7
Bolton,E08000001,,2019,20.5
Bury,E08000002,,2019,18.0
Manchester,E08000003,,2019,15.0
Oldham,E08000004,,2019,18.4
Rochdale,E08000005,,2019,18.3
Salford,E08000006,,2019,16.6
Stockport,E08000007,,2019,18.9
Tameside,E08000008,,2019,16.3
Trafford,E08000009,,2019,18.3
Wigan,E08000010,,2019,19.3
Merseyside (Met County),E11000002,,2019,19.6
Knowsley,E08000011,,2019,27.2
Liverpool,E08000012,,2019,15.3
Sefton,E08000014,,2019,20.2
St. Helens,E08000013,,2019,23.4
Wirral,E08000015,,2019,22.3
Yorkshire and the Humber (Region),E12000003,,2019,24.8
East Riding of Yorkshire UA,E06000011,,2019,34.1
"Kingston upon Hull, City of UA",E06000010,,2019,16.2
North East Lincolnshire UA,E06000012,,2019,24.2
North Lincolnshire UA,E06000013,,2019,31.9
York UA,E06000014,,2019,22.5
North Yorkshire,E10000023,,2019,31.9
South Yorkshire (Met County),E11000003,,2019,24.1
Barnsley,E08000016,,2019,26.2
Doncaster,E08000017,,2019,27.6
Rotherham,E08000018,,2019,25.5
Sheffield,E08000019,,2019,20.4
West Yorkshire (Met County),E11000006,,2019,21.4
Bradford,E08000032,,2019,18.8
Calderdale,E08000033,,2019,21.1
Kirklees,E08000034,,2019,20.3
Leeds,E08000035,,2019,22.6
